,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29
2003-02-01,0.030950019192036,0.0319397119847938,0.033353201768130336,0.03483592772155727,0.035255340624754446,0.03223189225915922,0.029029736630276803,0.04726452125885754,0.03737775550967236,0.03002778386970589,0.0356192558550985,0.05707359120010509,0.03968419840200505,0.02852726086692184,0.02914993059992312,0.037146320987339006,0.025465827014878255,0.0297477838493576,0.028854043566869624,0.03973925721002828,0.02971340175504463,0.02973255997122086,0.02531571719035028,0.03382048416250479,0.03657895053113136,0.04173303736681375,0.028555255707934362,0.024678955631279344,0.02662647042782345,0.02997184822361472
2003-03-01,0.027926423953331763,0.030053892311336424,0.0386457412092483,0.03233644046592592,0.03581480001362387,0.03274342184929924,0.030038409307889653,0.045178990975870824,0.03882022727870741,0.030314479070292805,0.03567944973047573,0.05553067916664244,0.04006194404156387,0.029218916390265533,0.028980578512952965,0.035488059449586405,0.024103694269360973,0.029360237207943677,0.02940055204282243,0.042520015967600105,0.030612413993311608,0.03226398456487194,0.026319554797410036,0.03311016334790312,0.03700202112253203,0.03727829931812381,0.02871066519130434,0.025668032171695773,0.025957377345915796,0.03086057417327175
2003-04-01,0.027876428562620834,0.029678562589641858,0.032202964860941666,0.03320809710011255,0.03586446358203287,0.033530986235260116,0.027434325755470463,0.046581159152702376,0.03672508323124575,0.030867312501165256,0.03604991403722046,0.056187138177541174,0.03948917599855007,0.029073505755803943,0.02907828794548969,0.035659583048536884,0.025047225456326403,0.031051084031334882,0.029989825908923233,0.041885541155421424,0.031119942925675024,0.031219606349143048,0.02590701686622295,0.03512940478554355,0.037808455753362565,0.03866179270229878,0.02801641752817307,0.026911744779811456,0.02722985871897,0.030515129654748414
2003-05-01,0.027926879183097143,0.03071472402673682,0.032634414632905555,0.03318927483378462,0.036184778403252675,0.03388497795226179,0.027552510494551707,0.048383177732540854,0.03809176704707039,0.029351739786451198,0.035341697871792144,0.056510204077873084,0.038762423205916385,0.027514395405758004,0.02867617632449721,0.03490907387104416,0.024732531292140158,0.029546581380299794,0.03014754689181991,0.041057720527275264,0.031148121221557756,0.03323645232535537,0.025069241228019012,0.03422534696983092,0.0379885835513405,0.039413087452181264,0.029063976895058876,0.02649459970311893,0.02749091137714648,0.03075712021809362
2003-06-01,0.029013718131447097,0.03082158990771405,0.03173016986800572,0.034306780699161495,0.037022185078072145,0.03307093200756644,0.028261156259160376,0.04498335820253794,0.03787092834809696,0.02996723484770379,0.036589354977717294,0.05663920921152308,0.03965950871956013,0.028134291542513755,0.02835043417665552,0.034462565849683394,0.023742313202226337,0.029168620673611437,0.0300845199235528,0.040007650564852344,0.031193604891379522,0.032481605773941366,0.02618290360411174,0.03436844472841175,0.037399647875990996,0.04160518521983664,0.028375759697174364,0.026460177453103886,0.027622670359061862,0.030423515258058132
2003-07-01,0.02941293611672981,0.03190617931650223,0.031694272230826694,0.03473035807432829,0.03631339993923444,0.032922866411770564,0.027315718508672704,0.04453353072938256,0.03790067837020235,0.02849852948862598,0.03583345936896203,0.05718058011939121,0.039564498279710446,0.02777975029172483,0.0296294314675119,0.03453177330094883,0.024788098314134182,0.02979367741188185,0.030927135822986705,0.040214117713054956,0.03167897940675608,0.03126079687830075,0.02565596659426548,0.0335909026575423,0.038640553942329604,0.04055474474367547,0.02857991509500327,0.027190846192015537,0.02730080860636149,0.03007553129168449
2003-08-01,0.02832226867969306,0.030948244966414584,0.030160152666573473,0.035305400002096095,0.03662644150802457,0.03245387524114095,0.028445841120367545,0.043839925373649086,0.03697835873157715,0.029796960009821245,0.033515403642350755,0.05764409516240147,0.03967526652904923,0.027541722982876275,0.030339452151425535,0.03468470720363922,0.024719286879631583,0.0298863419221578,0.029672408975720377,0.04142400666183182,0.03217691557139022,0.033328509983921534,0.025452780389736404,0.034492900213451604,0.03830924313457673,0.04054823638409298,0.029489328842044762,0.027361680008379824,0.026926347962762994,0.02993393455180352
2003-09-01,0.027419886418318454,0.030915316800771867,0.03214210875759743,0.03450012021962783,0.03686833185819934,0.03499159760476562,0.029291668019021465,0.0432141819452127,0.03883448434923457,0.030473018255665237,0.03488657473194196,0.056589510860814624,0.038329548111874355,0.02836500844943707,0.029947702780410597,0.03528457093913721,0.024273307271435705,0.029279891130744085,0.030203111495261323,0.039571225104776966,0.03231368349188913,0.030845171854391132,0.024904270676659956,0.035551449016521186,0.038326702494180624,0.040281733612159955,0.029127496697346694,0.026502164648303583,0.02561883454574655,0.031147368296929826
2003-10-01,0.027702449538631217,0.030879616005632434,0.031993951091628094,0.0352674700486609,0.0383167454142041,0.03465608795119546,0.027924404422961183,0.04363127224792103,0.03906068405210995,0.030112735106022286,0.03328327763310167,0.055510373914822664,0.039801307148479376,0.02914173796374343,0.028589730229760597,0.0354219515096237,0.025978735007405523,0.02896014654785327,0.029153362176544507,0.0379916254691294,0.033906516025622585,0.031997987392145905,0.024623132025821302,0.0342180544050892,0.03843253034131139,0.040909440080779506,0.028570150973732073,0.025151575195356622,0.02809892203469675,0.030714068162331493
2003-11-01,0.02824286135939959,0.03148200178482689,0.032841819092746145,0.03358594686718538,0.038346950901955015,0.03568859165363148,0.028166734963111454,0.04404122346525872,0.04014331977025152,0.03029416525265816,0.03548816934953954,0.05617192377046212,0.03860128736911096,0.028420597163663866,0.02824745992793159,0.03386476983283138,0.02434947334407372,0.02927194905065025,0.028498933163610622,0.040931345735608256,0.031063020362735127,0.03224914308296227,0.02533778298833422,0.034708858151109495,0.036547849085909266,0.04013696539252762,0.03160725101013851,0.025971913881302454,0.026121312856244982,0.029576420633804307
